timestamp,total_wallet,total_margin_balance,available_balance,total_unrealized,maint_buffer,margin_ratio_pct,positions_count,open_orders_count,realized_7d
2026-04-25 09:15:06.171964+09:00,166756.76539978,148709.29794759,143201.68656549,-18047.46745219,148047.31717291,0.4451508976347286,150,8,9.49957657
2026-04-25 09:15:35.431208+09:00,166759.86906378,148713.33309234,143202.86327792,-18046.53597144,148051.2133527,0.445232263894504,150,7,9.49957657
2026-04-25 09:16:05.469034+09:00,166794.83644808,148781.19402037,143273.61385485,-18013.64242771,148118.85384849,0.4451773466674272,150,7,9.49957657
2026-04-25 09:16:35.293926+09:00,166794.61789123,148788.66647214,143275.00760989,-18005.95141909,148126.22036488,0.445226187563177,150,7,9.49957657
2026-04-25 09:17:06.355351+09:00,166756.83918708,148719.86498968,143210.25557398,-18036.9741974,148057.56827969,0.4453317047026355,150,7,9.49957657
2026-04-25 09:17:35.447274+09:00,166755.0967632,148723.32118455,143210.89445416,-18031.77557865,148060.93477337,0.4453816697369527,150,7,9.49957657
2026-04-25 09:18:05.711376+09:00,166750.9608038,148708.00361743,143202.60880873,-18042.95718637,148045.74851464,0.4453392464966004,150,7,9.49957657
2026-04-25 09:18:35.347336+09:00,166722.1374048,148672.01988596,143162.71349414,-18050.11751884,148009.80820152,0.4454178297624223,150,7,9.49957657
2026-04-25 09:19:06.142995+09:00,166721.41937866,148669.15186487,143160.02695998,-18052.26751379,148006.89363866998,0.4454577280443135,150,7,9.49957657
2026-04-25 09:19:52.503862+09:00,166695.10057298,148630.78377078,143121.19872358,-18064.3168022,147968.55764823,0.4455511205345538,150,7,9.49957657
2026-04-25 09:20:23.065922+09:00,166690.20010161,148639.80016976,143130.86500344,-18050.39993185,147977.46490704,0.4455975196169219,150,7,9.49957657
2026-04-25 09:20:52.953852+09:00,166710.34921132,148677.41675465,143167.93166781,-18032.93245667,148014.98744066,0.4455480384644778,150,7,9.49957657
2026-04-25 09:21:23.245142+09:00,166701.38184881,148665.19877414,143156.3207276,-18036.18307467,148002.74239517,0.4456028609469245,150,7,9.49957657
2026-04-25 09:21:53.139837+09:00,166699.23438181,148660.46597337,143151.90656734,-18038.76840844,147998.09169725,0.4455618188622206,150,7,9.49957657
2026-04-25 09:22:22.415600+09:00,166690.61180874,148639.68014082,143131.6773856,-18050.93166792,147977.45585018,0.4455232209949686,150,7,9.49957657
2026-04-25 09:22:53.130342+09:00,166691.38961757,148641.22682378,143132.80801217,-18050.16279379,147978.93378003998,0.4455648395079343,150,7,9.49957657
2026-04-25 09:23:22.831143+09:00,166689.7998522,148636.64953893,143127.96419754,-18053.15031327,147974.50341794002,0.4454797138148452,150,7,9.49957657
2026-04-25 09:23:53.488543+09:00,166693.30224966,148636.36581871,143123.92482712,-18056.93643095,147974.24321825002,0.4454647399463351,150,7,9.49957657
2026-04-25 09:24:22.987140+09:00,166719.35040464,148667.94407718,143147.60707938,-18051.40632746,148005.77517188,0.4454012661641701,150,7,9.49957657
2026-04-25 09:24:53.751529+09:00,166694.9477255,148633.37324674,143122.56639908,-18061.57447876,147971.22841128,0.4454886685245319,150,7,9.49957657
2026-04-25 09:25:23.503120+09:00,166695.33811394,148630.6629678,143121.96346417,-18064.67514614,147968.5495721,0.4454756390634166,150,7,9.49957657
2026-04-25 09:25:52.961194+09:00,166708.09789638,148655.12619323,143146.54703044,-18052.97170315,147992.85518111,0.4455083582244881,150,7,9.49957657
2026-04-25 09:26:23.719182+09:00,166709.59211071,148663.96533764,143151.50237664,-18045.62677307,148001.65963048,0.4455052074359756,150,7,9.49957657
2026-04-25 09:26:54.151952+09:00,166666.87100651,148554.2832044,143047.37046309,-18112.58780211,147892.51252368002,0.4454739819312049,150,7,9.49957657
2026-04-25 09:27:24.268640+09:00,166652.45140965,148543.42525144,143040.8868096,-18109.02615821,147881.67588151,0.4454921978605612,150,7,9.49957657
2026-04-25 09:27:53.634532+09:00,166655.24735931,148550.99981639,143046.83713507,-18104.24754292,147889.21076637,0.4454961937906682,150,7,9.49957657
2026-04-25 09:28:24.403488+09:00,166651.68117916,148547.90327287,143041.84921793,-18103.77790629,147886.09353267,0.4455194086343387,150,7,9.49957657
2026-04-25 09:28:53.963814+09:00,166657.56424992,148535.57948766,143013.40300581,-18121.98476226,147873.82541189,0.4455188972585366,150,7,8.1268493
2026-04-25 09:29:26.306475+09:00,166627.55238862,148489.92014062,142984.4622162,-18137.632248,147828.23644608,0.445608492423853,150,7,8.1268493
2026-04-25 09:29:52.965422+09:00,166633.296065,148502.31855141,142999.03156662,-18130.97751359,147840.54614455,0.4456310267175399,150,7,8.1268493
2026-04-25 09:30:23.958063+09:00,166637.50909922,148496.78906625,142992.70164544,-18140.72003297,147835.06833251,0.4456128229444621,150,7,8.1268493
2026-04-25 09:30:53.344808+09:00,166649.68913422,148523.71413348,143018.97679823,-18125.97500074,147861.92753265,0.4455763880475306,150,7,8.1268493
